fecha,categoria,cantidad_forecast,ci_lower,ci_upper
2024-12-12,Lácteos,2.1807254518073695,0.35974059309279166,6.440400361045035
2024-12-13,Lácteos,2.130028380243925,0.3323865836389141,6.353029354570178
2024-12-14,Lácteos,2.131583103732159,0.3293932366252742,6.376908852399299
2024-12-15,Lácteos,2.097870766827637,0.31153100586113075,6.317252314339409
2024-12-16,Lácteos,2.0932445876337917,0.3087117193802575,6.311130432496444
2024-12-17,Lácteos,2.0913643423681965,0.307219089030418,6.3105828835117155
2024-12-18,Lácteos,2.089529639517173,0.30583269977150135,6.30966026132242
2024-12-19,Lácteos,2.089099074975889,0.3051166521483213,6.311632319846014
2024-12-20,Lácteos,2.088896362679816,0.30451241940985885,6.314058952150816
2024-12-21,Lácteos,2.088779830977001,0.3039529588854661,6.316644959650201
2024-12-22,Lácteos,2.0887424464834585,0.30343179831218625,6.319393245632332
2024-12-23,Lácteos,2.0887251443776855,0.3029208922620772,6.32218131904203
2024-12-24,Lácteos,2.0887169282286817,0.3024148972264532,6.324987055233026
2024-12-25,Lácteos,2.088713838663248,0.30191179088930215,6.327803038509409
2024-12-26,Lácteos,2.0887124521864204,0.30140993341842176,6.330622248465779
2024-12-27,Lácteos,2.088711838695219,0.30090886995342253,6.333442828195625
2024-12-28,Lácteos,2.088711590347249,0.3004083986067009,6.336263975661062
2024-12-29,Lácteos,2.0887114813345,0.299908409883803,6.3390852327667755
2024-12-30,Lácteos,2.0887114342699515,0.2994088654108911,6.341906445415251
2024-12-31,Lácteos,2.0887114145921117,0.298909747681554,6.344727545281693
2025-01-01,Lácteos,2.088711406065639,0.2984110482161239,6.347548500197293
2025-01-02,Lácteos,2.088711402412856,0.29791276333726663,6.350369298214657
2025-01-03,Lácteos,2.0887114008647227,0.2974148910776286,6.353189934414664
2025-01-04,Lácteos,2.0887114001985045,0.2969174302256356,6.3560104069666385
2025-01-05,Lácteos,2.08871139991367,0.29642037992043174,6.358830715498466
2025-01-06,Lácteos,2.088711399792283,0.2959237394399368,6.361650860204007
2025-01-07,Lácteos,2.0887113997402236,0.2954275081236465,6.364470841524403
2025-01-08,Lácteos,2.088711399717972,0.29493168533890224,6.367290660009576
2025-01-09,Lácteos,2.0887113997084694,0.2944362704653514,6.370110316253237
2025-01-10,Lácteos,2.0887113997044002,0.2939412628887714,6.372929810867308
2025-01-11,Lácteos,2.088711399702661,0.2934466619983777,6.37574914447082
2025-01-12,Lácteos,2.0887113997019178,0.29295246718564083,6.378568317684964
2025-01-13,Lácteos,2.0887113997015994,0.29245867784379265,6.381387331131092
2025-01-14,Lácteos,2.0887113997014635,0.2919652933676119,6.384206185429822
2025-01-15,Lácteos,2.0887113997014053,0.2914723131533273,6.387024881200673
2025-01-16,Lácteos,2.0887113997013804,0.2909797365985775,6.389843419061899
2025-01-17,Lácteos,2.0887113997013698,0.2904875631023871,6.392661799630439
2025-01-18,Lácteos,2.088711399701365,0.2899957920651574,6.395480023521886
2025-01-19,Lácteos,2.0887113997013627,0.28950442288865885,6.398298091350469
2025-01-20,Lácteos,2.088711399701362,0.28901345497602515,6.401116003729059
2025-01-21,Lácteos,2.0887113997013613,0.2885228877317476,6.403933761269178
2025-01-22,Lácteos,2.0887113997013613,0.2880327205616727,6.406751364580997
2025-01-23,Lácteos,2.0887113997013613,0.2875429528729958,6.409568814273326
2025-01-24,Lácteos,2.0887113997013613,0.2870535840742583,6.412386110953645
2025-01-25,Lácteos,2.0887113997013613,0.2865646135753425,6.415203255228086
2025-01-26,Lácteos,2.0887113997013613,0.28607604078746823,6.418020247701439
2025-01-27,Lácteos,2.0887113997013613,0.2855878651231881,6.4208370889771755
2025-01-28,Lácteos,2.0887113997013613,0.2851000859963837,6.423653779657429
2025-01-29,Lácteos,2.0887113997013613,0.284612702822261,6.426470320343015
2025-01-30,Lácteos,2.0887113997013613,0.28412571501734724,6.429286711633419
