fecha,cantidad_forecast,ci_lower,ci_upper,categoria
2024-12-12,2.423189400090853,0.5404720261617135,6.606905850859142,Congelados
2024-12-13,2.41465755822552,0.5182905560760145,6.679614546296967,Congelados
2024-12-14,2.369032171985803,0.47463635259034637,6.697069013616342,Congelados
2024-12-15,2.335734671295546,0.4460467592333108,6.694858915338788,Congelados
2024-12-16,2.3084864653216575,0.4250681128621574,6.681094392907364,Congelados
2024-12-17,2.286442162513311,0.4095834364306463,6.662336125979714,Congelados
2024-12-18,2.2685573249705957,0.3979747598380195,6.642102914545331,Congelados
2024-12-19,2.2540332945582504,0.38916492064747765,6.622372638922025,Congelados
2024-12-20,2.2422275591350123,0.38240671912985175,6.6041583129972965,Congelados
2024-12-21,2.2326242477952367,0.37717355900254956,6.587903107145244,Congelados
2024-12-22,2.2248077420835735,0.3730881538780453,6.573719825657899,Congelados
2024-12-23,2.2184424345797313,0.36987622050084684,6.561538443901402,Congelados
2024-12-24,2.213256802675318,0.3673356626741326,6.551195775692933,Congelados
2024-12-25,2.2090308244234946,0.3653157176597145,6.5424890367128485,Congelados
2024-12-26,2.2055859788296073,0.36370262739790704,6.53520691477751,Congelados
2024-12-27,2.2027772636986147,0.36240965539715214,6.529146729274,Congelados
2024-12-28,2.200486799485128,0.3613700396025061,6.524123093431198,Congelados
2024-12-29,2.198618687569618,0.36053195466441174,6.519971488647026,Congelados
2024-12-30,2.1970948658967653,0.3598548662375965,6.516548887179221,Congelados
2024-12-31,2.195851761109089,0.35930686100439924,6.513732750114481,Congelados
2025-01-01,2.194837579140238,0.35886266858252297,6.511419213343998,Congelados
2025-01-02,2.1940101091913173,0.35850217973504356,6.509520948730479,Congelados
2025-01-03,2.193334941594935,0.35820932469921485,6.5079649828419575,Congelados
2025-01-04,2.192784020078565,0.3579712158056709,6.506690628063956,Congelados
2025-01-05,2.192334464690699,0.3577774862299834,6.505647602648403,Congelados
2025-01-06,2.1919676141270283,0.35761977586772076,6.50479436933933,Congelados
2025-01-07,2.1916682461208015,0.35749132870274036,6.504096695063677,Congelados
2025-01-08,2.1914239424950694,0.3573866754778506,6.503526419356671,Congelados
2025-01-09,2.1912245718376897,0.35730138220535596,6.50306041194309,Congelados
2025-01-10,2.191061867878971,0.357231849901778,6.502679697185234,Congelados
2025-01-11,2.190929085780253,0.35717515446003145,6.502368723018248,Congelados
2025-01-12,2.1908207218782985,0.35712891816982045,6.502114753326576,Congelados
2025-01-13,2.1907322851315976,0.3570912063293346,6.501907364736448,Congelados
2025-01-14,2.19066011070476,0.3570604438438724,6.501738031068673,Congelados
2025-01-15,2.1906012079048516,0.35703534780977003,6.501599780959372,Congelados
2025-01-16,2.190553136128011,0.3570148729270316,6.501486916277638,Congelados
2025-01-17,2.190513903649162,0.35699816723714806,6.501394780881579,Congelados
2025-01-18,2.1904818850434475,0.35698453619128134,6.501319570936899,Congelados
2025-01-19,2.1904557538060963,0.35697341345298444,6.501258179475085,Congelados
2025-01-20,2.190434427371219,0.356964337154478,6.501208069108413,Congelados
2025-01-21,2.190417022246448,0.35695693057530997,6.501167167866113,Congelados
2025-01-22,2.1904028174012327,0.35695088641132905,6.50113378399481,Congelados
2025-01-23,2.190391224389748,0.356945953961217,6.501106536299112,Congelados
2025-01-24,2.1903817629691447,0.35694192868573854,6.501084297206805,Congelados
2025-01-25,2.1903740412020896,0.35693864369784695,6.5010661462469335,Congelados
2025-01-26,2.1903677392186474,0.3569359628249061,6.501051332044687,Congelados
2025-01-27,2.190362595964381,0.3569337749514823,6.50103924127949,Congelados
2025-01-28,2.1903583983854102,0.3569319894056015,6.501029373334267,Congelados
2025-01-29,2.19035497260223,0.35693053219551274,6.5010213195948845,Congelados
2025-01-30,2.1903521767065337,0.3569293429398459,6.501014746548478,Congelados
2025-01-31,2.1903498948825733,0.35692837236318375,6.501009381984533,Congelados
2025-02-01,2.1903480326094713,0.3569275802527608,6.501005003729946,Congelados
