fecha,cantidad_forecast,ci_lower,ci_upper,categoria
2024-12-12,22.686658113605308,14.170230916964243,30.73975608449947,Lácteos
2024-12-13,23.060387253371655,14.403664514119374,31.24614810312815,Lácteos
2024-12-14,23.322633873567547,14.56746542065927,31.601484578797592,Lácteos
2024-12-15,22.652586894794165,14.148949817043812,30.693590582709323,Lácteos
2024-12-16,23.66687796632498,14.782482469964044,32.06792522386321,Lácteos
2024-12-17,23.11261790724842,14.436288112653438,31.316919106608072,Lácteos
2024-12-18,24.181285529249532,15.103784704765316,32.7649323781624,Lácteos
2024-12-19,22.69345479286752,14.273500220346865,30.790085324044643,Lácteos
2024-12-20,23.067295897872693,14.508635026544077,31.297306442459906,Lácteos
2024-12-21,23.329621084341156,14.67362967548739,31.653224699408096,Lácteos
2024-12-22,22.659373366684925,14.252064028785593,30.743844236924804,Lácteos
2024-12-23,23.673968308933812,14.890213718373797,32.12042903312806,Lácteos
2024-12-24,23.11954219949274,14.541496378175758,31.368193317086536,Lácteos
2024-12-25,24.188529982842795,15.21385752814005,32.8185773754034,Lácteos
2024-12-26,22.700251472129736,14.72485132145149,30.31425726121105,Lácteos
2024-12-27,23.074204542373742,14.967421469509267,30.813639816021706,Lácteos
2024-12-28,23.336608295114775,15.137633515399882,31.16405773437231,Lácteos
2024-12-29,22.666159838575695,14.702737282935,30.268730780974433,Lácteos
2024-12-30,23.681058651542656,15.361066295087308,31.6240419213885,Lácteos
2024-12-31,23.12646649173707,15.001321950087162,30.883431209298447,Lácteos
2025-01-01,24.195774436436068,15.69494424417809,32.31140112262122,Lácteos
2025-01-02,22.70704815139195,14.588136032146467,31.090799802505977,Lácteos
2025-01-03,23.081113186874784,14.82845399800936,31.602974747209267,Lácteos
2025-01-04,23.34359550588839,14.997085682333728,31.962369115765675,Lácteos
2025-01-05,22.672946310466457,14.566227315035775,31.04410709713791,Lácteos
2025-01-06,23.688148994151497,15.218443963851472,32.434136447803795,Lácteos
2025-01-07,23.133390783981394,14.862039724033297,31.674553945657305,Lácteos
2025-01-08,24.203018890029334,15.549221968541728,33.139103326384785,Lácteos
2025-01-09,22.713844830654164,14.26670461365683,30.418212492245154,Lácteos
2025-01-10,23.08802183137583,14.501727472284252,30.919307555741486,Lácteos
2025-01-11,23.350582716662004,14.666643567353402,31.270927145482116,Lácteos
2025-01-12,22.67973278235722,14.2452786278562,30.372529890229583,Lácteos
2025-01-13,23.695239336760338,14.883124494679638,31.732488734247628,Lácteos
2025-01-14,23.14031507622572,14.534573178641995,30.989338281301706,Lácteos
2025-01-15,24.2102633436226,15.206614217781453,32.42220506347962,Lácteos
2025-01-16,22.72064150991638,15.31599039063654,31.061863554147074,Lácteos
2025-01-17,23.094930475876872,15.568298680588223,31.5735618169542,Lácteos
2025-01-18,23.35756992743562,15.7453440036492,31.932621696698053,Lácteos
2025-01-19,22.686519254247987,15.292988569156462,31.015214305741445,Lácteos
2025-01-20,23.70232967936918,15.977746642693877,32.40394995425838,Lácteos
2025-01-21,23.147239368470043,15.603560118780985,31.64507439654789,Lácteos
2025-01-22,24.21750779721587,16.32502834682016,33.10826071923621,Lácteos
2025-01-23,22.727438189178592,14.620461289680348,31.32293468653298,Lácteos
2025-01-24,23.101839120377917,14.861311766353356,31.838933710132455,Lácteos
2025-01-25,23.364557138209232,15.030317114771076,32.201011443883544,Lácteos
2025-01-26,22.69330572613875,14.598504025934139,31.27589335694764,Lácteos
2025-01-27,23.709420021978016,15.252165895105225,32.67630115732086,Lácteos
2025-01-28,23.154163660714367,14.894971913622117,31.91104734413815,Lácteos
2025-01-29,24.224752250809136,15.58367685732786,33.386531567417336,Lácteos
2025-01-30,22.73423486844081,14.080830178326824,30.12482171740184,Lácteos
2025-01-31,23.108747764878967,14.312791030533003,30.621083601795792,Lácteos
2025-02-01,23.37154434898285,14.475558508463303,30.969311738343357,Lácteos
2025-02-02,22.700092198029516,14.05968334199483,30.07957973476868,Lácteos
2025-02-03,23.71651036458686,14.689219003796579,31.426421457617845,Lácteos
